N,Energy_J_matVet,Energy_J_matVet_otim,Energy_J_matMat,Energy_J_matmat_otim
64,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0
128,0.0,0.0,0.0,0.0
1024,0.0,0.0,0.0,0.0
2000,0.0,0.0,0.0,0.0
2048,0.0,0.0,0.0,0.0
3000,0.0,0.0,0.0,0.0
4096,0.0,0.0,0.0,0.0
6000,0.0,0.0,0.0,0.0
7000,0.0,0.0,0.0,0.0
10000,0.0,0.0,0.0,0.0
50000,0.0,0.0,0.0,0.0
60000,0.0,0.0,0.0,0.0
70000,0.0,0.0,0.0,0.0
100000,0.0,0.0,0.0,0.0
