64,0.0556,0.0274,0.0106,0.0093
100,0.0504,0.0189,0.0003,0.0009
128,0.0424,0.0308,2.749235e-05,0.0008
1024,0.2788,0.8761,0.8470,0.0015
2000,0.2810,0.8811,0.3667,0.4331
