N,MFLOPS_matVet,MFLOPS_matVet_otim,MFLOPS_matMat,MFLOPS_matmat_otim
64,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0
128,0.0,0.0,0.0,0.0
1024,0.0,0.0,0.0,0.0
2000,0.0,0.0,0.0,0.0
2048,0.0,0.0,0.0,0.0
3000,0.0,0.0,0.0,0.0
4096,0.0,0.0,0.0,0.0
6000,0.0,0.0,0.0,0.0
7000,0.0,0.0,0.0,0.0
10000,0.0,0.0,0.0,0.0
50000,0.0,0.0,0.0,0.0
60000,0.0,0.0,0.0,0.0
70000,0.0,0.0,0.0,0.0
100000,0.0,0.0,0.0,0.0
